Date,Price,Count,,
2026-05-26 14:00,280000,15,,
2026-05-26 19:30,279999,135,,
2026-05-26 19:30,279999,200,,
2026-05-26 19:31,274000,2,,
2026-05-26 19:31,270000,7,,
2026-05-26 19:31,264000,4,,
2026-05-26 19:31,274000,2,,
2026-05-26 19:31,280000,10,,
2026-05-26 19:32,279888,48,,
2026-05-26 19:32,274000,1,,
2026-05-26 19:32,274000,1,,
2026-05-27 19:51,283500,12,,
2026-05-27 19:51,283500,12,,
2026-05-27 19:51,182343,2,,
2026-05-27 19:51,182343,2,,
2026-05-27 19:52,278900,1,,
2026-05-27 19:52,278900,1,,
2026-05-27 19:52,283000,8,,
2026-05-27 19:52,283000,8,,
2026-05-27 19:52,282999,5,,
2026-05-27 19:52,282999,5,,
2026-05-27 19:52,278900,1,,
2026-05-27 19:52,278900,1,,
2026-05-27 19:52,278000,1,,
2026-05-27 19:52,278000,1,,
2026-05-27 19:52,282222,3,,
2026-05-27 19:52,282222,3,,
2026-05-27 19:52,280000,25,,
2026-05-27 19:52,280000,7,,
2026-05-27 19:52,280000,25,,
2026-05-27 19:52,280000,7,,
2026-05-27 20:16,281000,18,,
2026-05-27 20:16,281000,2,,
2026-05-27 20:16,280999,5,,
2026-05-27 20:16,280000,3,,
2026-05-27 20:15,281000,24,,
2026-05-27 20:15,281800,50,,
2026-05-27 20:15,279000,1,,
2026-05-27 20:15,278888,52,,
2026-05-27 20:15,280000,1,,
2026-05-27 20:15,280000,3,,
2026-05-27 20:43,280000,1,,
2026-05-27 20:43,279900,8,,
2026-05-27 20:43,279000,13,,
2026-05-27 20:43,279900,7,,
2026-05-27 20:43,280000,1,,
2026-05-27 20:43,279999,28,,
2026-05-27 20:43,279000,7,,
2026-05-27 20:43,279000,2,,
2026-05-27 20:42,280000,4,,
2026-05-27 20:42,279000,1,,
2026-05-28 11:39,269000,1,,
2026-05-28 11:39,266999,1,,
2026-05-28 11:38,262000,2,,
2026-05-28 11:38,266998,3,,
2026-05-28 11:38,265000,3,,
2026-05-28 11:38,266999,2,,
2026-05-28 11:37,260000,122,,
2026-05-28 11:37,269999,1,,
2026-05-28 11:37,267000,7,,
2026-05-28 11:37,260000,2,,
2026-05-29 9:41,270000,6,,
2026-05-29 9:40,270000,19,,
2026-05-29 9:40,270000,1,,
2026-05-29 9:40,268999,1,,
2026-05-29 9:40,265000,7,,
2026-05-29 9:40,260000,2,,
2026-05-29 9:40,260000,1,,
2026-05-29 9:40,259000,13,,
2026-05-29 9:40,256000,2,,
2026-05-29 9:39,245000,2,,
2026-05-29 16:29,276629,5,,
2026-05-29 16:29,276629,14,,
2026-05-29 16:28,275000,2,,
2026-05-29 16:28,276310,16,,
2026-05-29 16:28,276310,1,,
2026-05-29 16:28,276310,1,,
2026-05-29 16:28,276310,1,,
2026-05-29 16:28,276310,51,,
2026-05-29 16:28,276310,2,,
2026-05-29 16:28,276310,9,,
2026-05-29 18:10,273655,65,,
2026-05-29 18:10,273333,10,,
2026-05-29 18:10,270000,2,,
2026-05-29 18:10,273000,26,,
2026-05-29 18:10,269999,5,,
2026-05-29 18:10,255000,9,,
2026-05-29 18:10,265000,1,,
2026-05-29 18:10,255000,12,,
2026-05-29 18:09,255000,20,,
2026-05-29 18:09,273333,8,,
2026-05-29 19:23,275000,1,,
2026-05-29 19:23,275000,14,,
2026-05-29 19:23,275000,5,,
2026-05-29 19:23,260000,5,,
2026-05-29 19:23,268000,2,,
2026-05-29 19:22,264980,5,,
2026-05-29 19:22,264900,2,,
2026-05-29 19:22,265000,8,,
2026-05-29 19:22,265000,30,,
2026-05-29 19:22,265000,7,,
2026-05-30 11:51,270000,2,,
2026-05-30 11:51,270999,3,,
2026-05-30 11:51,271000,3,,
2026-05-30 11:51,271998,2,,
2026-05-30 11:51,271900,5,,
2026-05-30 11:51,271000,9,,
2026-05-30 11:51,271000,11,,
2026-05-30 11:50,271000,4,,
2026-05-30 11:50,268000,2,,
2026-05-30 11:50,265555,1,,
2026-05-30 11:55,270000,54,,
2026-05-30 11:55,270000,1,,
2026-05-30 11:55,269999,1,,
2026-05-30 11:55,270000,5,,
2026-05-30 11:55,271999,9,,
2026-05-30 11:55,270999,16,,
2026-05-30 11:54,271999,3,,
2026-05-30 11:54,270000,2,,
2026-05-30 11:54,271888,5,,
2026-05-30 11:54,271000,3,,
광휘의 소울 결정,2026-05-30 13:08,140000,6,2026-05-30 13:08
광휘의 소울 결정,2026-05-30 13:08,140000,157,2026-05-30 13:08
광휘의 소울 결정,2026-05-30 13:08,139999,2,2026-05-30 13:08
광휘의 소울 결정,2026-05-30 13:08,133333,2,2026-05-30 13:08
광휘의 소울 결정,2026-05-30 13:08,139999,2,2026-05-30 13:08
광휘의 소울 결정,2026-05-30 13:08,135500,2,2026-05-30 13:08
광휘의 소울 결정,2026-05-30 13:08,100000,2,2026-05-30 13:08
광휘의 소울 결정,2026-05-30 13:08,140000,18,2026-05-30 13:08
광휘의 소울 결정,2026-05-30 13:08,140000,2,2026-05-30 13:08
광휘의 소울 결정,2026-05-30 13:08,140000,2,2026-05-30 13:08
닳아버린 순례의 증표,2026-05-30 13:08,274000,6,2026-05-30 13:10
닳아버린 순례의 증표,2026-05-30 13:08,274000,5,2026-05-30 13:10
닳아버린 순례의 증표,2026-05-30 13:08,274000,7,2026-05-30 13:10
닳아버린 순례의 증표,2026-05-30 13:08,274000,1,2026-05-30 13:10
닳아버린 순례의 증표,2026-05-30 13:08,269999,2,2026-05-30 13:10
닳아버린 순례의 증표,2026-05-30 13:08,250000,2,2026-05-30 13:10
닳아버린 순례의 증표,2026-05-30 13:08,271888,1,2026-05-30 13:10
닳아버린 순례의 증표,2026-05-30 13:08,270000,2,2026-05-30 13:10
닳아버린 순례의 증표,2026-05-30 13:08,270000,3,2026-05-30 13:10
닳아버린 순례의 증표,2026-05-30 13:08,272900,14,2026-05-30 13:10
광휘의 소울 결정,2026-05-30 13:09,140998,80,2026-05-30 13:10
광휘의 소울 결정,2026-05-30 13:09,140500,2,2026-05-30 13:10
광휘의 소울 결정,2026-05-30 13:08,140000,6,2026-05-30 13:10
광휘의 소울 결정,2026-05-30 13:08,140000,157,2026-05-30 13:10
광휘의 소울 결정,2026-05-30 13:08,139999,2,2026-05-30 13:10
광휘의 소울 결정,2026-05-30 13:08,133333,2,2026-05-30 13:10
광휘의 소울 결정,2026-05-30 13:08,139999,2,2026-05-30 13:10
광휘의 소울 결정,2026-05-30 13:08,135500,2,2026-05-30 13:10
광휘의 소울 결정,2026-05-30 13:08,100000,2,2026-05-30 13:10
광휘의 소울 결정,2026-05-30 13:08,140000,18,2026-05-30 13:10
닳아버린 순례의 증표,2026-05-30 13:25:07,272000,5,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:06,270000,18,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:06,270000,8,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:06,270000,10,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:06,272000,12,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:06,271169,1,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:06,272000,1,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:05,271169,2,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:02,270000,20,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:02,270000,8,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:25:08,120000,10,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:19:40,133000,5,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:19:30,130000,1,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:19:27,125000,2,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:16:16,135000,1,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:16:14,130000,2,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:16:11,130000,2,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:16:09,130000,2,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:16:02,125500,2,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:13:50,140999,10,2026-05-30 13:26:10
에픽 소울 결정,2026-05-30 13:22:58,999666,6,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:22:27,999666,12,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:22:26,999666,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:22:23,999600,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:22:13,979000,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:22:02,975000,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:21:49,990000,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:21:46,979999,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:21:06,999000,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:20:57,989999,2,2026-05-30 13:26:11
